sku;name;description
LC03-315-1003-1;TEST PRODUCT Samsung Galaxy A32 case - Green Leaf;TEST PRODUCT / DOES NOT EXISTS
LC03-315-1003-2;TEST PRODUCT Samsung Galaxy A32 case - Green Leafs;TEST PRODUCT / DOES NOT EXISTS
LC03-315-1003-3;TEST PRODUCT Samsung Galaxy A32 case - Yellow Marble and Green Leafs;TEST PRODUCT / DOES NOT EXISTS
LC03-315-1003-4;TEST PRODUCT Samsung Galaxy A32 case - Black Pandas and Blue Background;TEST PRODUCT / DOES NOT EXISTS
LC03-315-1003-5;TEST PRODUCT Samsung Galaxy A32 case - GreenLeafs;TEST PRODUCT / DOES NOT EXISTS
LC03-299-5003-1;Wonderland Samsung Galaxy A12 5G flip case - Baby Panda;A Samsung Galaxy A12 5G case with characteristic print made from durable imitation leather. The Wonderland case features two card slots and a pocket for cash notes. It has a magnetic clasp to keep the case closed and your Samsung Galaxy A12 5G protected. The back can be folded to hold the mobile in an angled position for convenient viewing.
LC03-299-5003-2;Wonderland Samsung Galaxy A12 5G flip case - Elephant;A Samsung Galaxy A12 5G case with characteristic print made from durable imitation leather. The Wonderland case features two card slots and a pocket for cash notes. It has a magnetic clasp to keep the case closed and your Samsung Galaxy A12 5G protected. The back can be folded to hold the mobile in an angled position for convenient viewing.
LC03-299-5003-3;Wonderland Samsung Galaxy A12 5G flip case - Flowers and Butterflies;A Samsung Galaxy A12 5G case with characteristic print made from durable imitation leather. The Wonderland case features two card slots and a pocket for cash notes. It has a magnetic clasp to keep the case closed and your Samsung Galaxy A12 5G protected. The back can be folded to hold the mobile in an angled position for convenient viewing.
LC03-299-5003-4;Wonderland Samsung Galaxy A12 5G flip case - Metal Butterflies;A Samsung Galaxy A12 5G case with characteristic print made from durable imitation leather. The Wonderland case features two card slots and a pocket for cash notes. It has a magnetic clasp to keep the case closed and your Samsung Galaxy A12 5G protected. The back can be folded to hold the mobile in an angled position for convenient viewing.
LC03-299-5003-5;Wonderland Samsung Galaxy A12 5G flip case - Crystal Butterflies;A Samsung Galaxy A12 5G case with characteristic print made from durable imitation leather. The Wonderland case features two card slots and a pocket for cash notes. It has a magnetic clasp to keep the case closed and your Samsung Galaxy A12 5G protected. The back can be folded to hold the mobile in an angled position for convenient viewing.
LC03-299-5003-6;Wonderland Samsung Galaxy A12 5G flip case - Couple Owls and Tree;A Samsung Galaxy A12 5G case with characteristic print made from durable imitation leather. The Wonderland case features two card slots and a pocket for cash notes. It has a magnetic clasp to keep the case closed and your Samsung Galaxy A12 5G protected. The back can be folded to hold the mobile in an angled position for convenient viewing.
LC03-299-5003-7;Wonderland Samsung Galaxy A12 5G flip case - Red Flowers;A Samsung Galaxy A12 5G case with characteristic print made from durable imitation leather. The Wonderland case features two card slots and a pocket for cash notes. It has a magnetic clasp to keep the case closed and your Samsung Galaxy A12 5G protected. The back can be folded to hold the mobile in an angled position for convenient viewing.
LC03-299-5003-8;Wonderland Samsung Galaxy A12 5G flip case - Blue Butterflies;A Samsung Galaxy A12 5G case with characteristic print made from durable imitation leather. The Wonderland case features two card slots and a pocket for cash notes. It has a magnetic clasp to keep the case closed and your Samsung Galaxy A12 5G protected. The back can be folded to hold the mobile in an angled position for convenient viewing.
LC03-299-5003-9;Wonderland Samsung Galaxy A12 5G flip case - Gold Butterfly;A Samsung Galaxy A12 5G case with characteristic print made from durable imitation leather. The Wonderland case features two card slots and a pocket for cash notes. It has a magnetic clasp to keep the case closed and your Samsung Galaxy A12 5G protected. The back can be folded to hold the mobile in an angled position for convenient viewing.
LC03-299-5003-10;Wonderland Samsung Galaxy A12 5G flip case - Malanda and Elephant;A Samsung Galaxy A12 5G case with characteristic print made from durable imitation leather. The Wonderland case features two card slots and a pocket for cash notes. It has a magnetic clasp to keep the case closed and your Samsung Galaxy A12 5G protected. The back can be folded to hold the mobile in an angled position for convenient viewing.
LC03-299-5004-1;Wonderland Samsung Galaxy A12 5G flip case - Giraffe;A Samsung Galaxy A12 5G case with characteristic print made from durable imitation leather. The Wonderland case features two card slots and a pocket for cash notes. It has a magnetic clasp to keep the case closed and your Samsung Galaxy A12 5G protected. The back can be folded to hold the mobile in an angled position for convenient viewing.
LC03-299-5004-2;Wonderland Samsung Galaxy A12 5G flip case - Two Butterflies;A Samsung Galaxy A12 5G case with characteristic print made from durable imitation leather. The Wonderland case features two card slots and a pocket for cash notes. It has a magnetic clasp to keep the case closed and your Samsung Galaxy A12 5G protected. The back can be folded to hold the mobile in an angled position for convenient viewing.
