look;se;dk;no;fi;de;nl;fr
abstract animal;;abstrakt dyr;;;;;
abstract floral;abstrakta blommor;abstrakte blomster;abstrakt blomst;abstrakti kukka;;;
adorable giraffe wearing glasses;söt giraff med glasögon;sød giraf med briller;bedårende giraffe med briller ;ihana kirahvi lasit päässä;;;
adorable owl;söt uggla;sød ugle;bedårende ugle;;;;
adorable pandas;bedårande panda;dejlige pandaer;bedårende pandaer ;suloinen panda;;;
almond tree in blossom;blommande mandelträd;mandeltræ i blomst;;;;;
aloe;aloe;aloe;;;;;
alpaca;alpacka;alpaka;alpakka;alpakka;;;
an owl standing on branch;en uggla på en gren;en stående ugle på en gren;en ugle som sitter på en gren;pöllö seisoo oksalla;;;
angry bear and warning;arg björn och varning;vred bjørn og advarsel;sint bamse og advarsel;vihainen karhu ja varoitus;;;
angry bear and warning words;arg björn och varnande ord;vred bjørn og advarende ord;sint bamse og advarende ord;vihainen karhu ja varoitussanat;;;
angry face and warning;argt ansikte och varning;vredt ansigt og advarsel;sint ansikt og advarsel;vihaiset kasvot ja varoitus;;;
animals;djur;dyr;;;;;
army stripe camo;armé kamouflage;armystriped camouflage;militærstripe kamuflasje;armeijan maastokuvio;;;
arrogant cat;arrogant katt;arrogant kat;arrogant katt;ylimielinen kissa;;;
astronomical girl;astronomisk tjej;astronomisk pige;;tähtitieteellinen tyttö;;;
avocado;avokado;avocado;avokado;avokado;;;
azul marble pattern;azul marmormönster;azul marmormønster;blått marmormønster;sininen marmori kuvio;;;
baby blue unicorns;babyblå enhörning;babyblå enhjørninge;lyseblå enhjørninger;vaaleansinisiä yksisarvisia;;;
baby panda;baby panda;baby panda;baby panda;vauva panda;;;
baby bear;;baby bjørn;;;;;
ballet;balett;ballet;;;;;
balloon and eiffel tower;ballong och eiffeltornet;ballon og eiffel tårnet;ballong og eiffeltårnet;ilmapallo ja eiffel-torni;;;
bamboo and panda;bambu och panda;bambus og panda;bambus og panda;bambu ja panda;;;
bamboo panda;bambu panda;bambus panda;bambus panda;bambu panda;;;
banana;banan;banan;banan;banaani;;;
banana leaf;banan blad;bananblad;bananblad;banaaninlehti;;;
banana leaves;bananlöv;bananblade;bananblader;banaaninlehdet;;;
banana tree;bananträd;banantræ;banantre;banaanipuu;;;
banana trees;bananträd;banantræer;banantrær;banaanipuut;;;
bananas;bananer;bananer;;banaanit;;;
be grateful;var tacksam;vær taknemmelig;vær takknemlig;ole kiitolllinen;;;
be grateful marble;var tacksam marmor;vær taknemmelig marmor;vær takknemlig marmor;ole kiitollinen marmori;;;
be happy;;vær glad;;ole iloinen;;;
strand;strand;strand;;ranta;;;
bear;björn;bjørn;bamse;karhu;;;
bear and its warnings;björn med varningar;bjørn og advarelser;bamse og dens advarsel;karhu ja sen varoitukset;;;
bear and warning;björn och varning;bjørn og advarsel;;karhu ja varoitus;;;
bear pattern;björnmönster;bjørnemønster;bamsemønster;karhu kuvio;;;
bear with expressions;björn med uttryck;bjørn med udtryk;bamse med uttrykk;karhun ilmeet;;;
beautiful butterflies;vackra fjärilar ;smukke sommerfugle;vakre sommerfugler;kauniita perhosia;;;
beautiful butterfly;vacker fjäril;smuk sommerfugl;vakre sommerfugl;kaunis perhonen;;;
beautiful flowers;vackra blommor;smukke blomster;vakre blomster;kauniit kukat;;;
beautiful flower;vacker blomma;smuk blomst;vakker blomst;kauniit kukka;;;
beautiful girl;vacker tjej;smuk pige;vakker jente;kaunis tyttö;;;
beautiful scenery;vackert landskap;smukt landskap;vakkert landskap;kaunis maisema;;;
beautiful tree;;smukt træ;;kaunis puu;;;
beauty;skönhet;skønhed;skjønnhet;kaunotar;;;
beauty and starfish;skönthet och sjöstjärna;skønhed og søstjerne;skjønnhet og sjøstjerne;kauneus ja meritähti;;;
beauty pattern;vackert mönster;skønhed mønster;skjønnhetsmønster;kauneusmalli;;;
beauty's back;vacker rygg;beauty's back;;kauneuden takaisin;;;
big ben;big ben;big ben;big ben;iso ben;;;
big ben and uk flag;big ben och engelsk flagga;big ben og engelsk flag;big ben og uk-flagg;big ben ja uk lippu;;;
big butterfly;stor fjäril;stor sommerfugl;stor sommerfugl;iso perhonen;;;
big panda;stor panda;stor panda;stor panda;iso panda;;;
bike and tower;cykel och torn;cykel og tårn;sykkel og tårn;pyörä ja torni;;;
bird;fågel;fugl;fugl;lintu;;;
biscuit;kex;kiks;kjeks;keksi;;;
black / gold butterflies;svart / guld fjäril;sort / guld sommerfugle;svarte/gull sommerfugler;musta / kulta perhoset;;;
black / pink flowers;svart / rosa blommor;sort / lyserød blomster;svarte / rosa blomster;mustat / pinkit kukat;;;
black / white flower;svart / vit blomma;sort / hvide blomster;svart/hvit blomst;musta / valkoinen kukka;;;
black and white animal;svartvita djur;sort og hvid dyr;svart-hvitt dyr;mustavalkoinen eläin;;;
black and white cat;svartvit katt;sort og hvid kat;svart og hvit katt;musta ja valkoinen kissa;;;
black and white cats;svartvita katter;sort og hvide katte;svarte og hvite katter;musta ja valkoiset kissat;;;
black butterfly;;sort sommerfugl;;;;;
black and white snakeskin;svartvitt ormskinn;sort og hvid slaneskind;;;;;
black cat;svart katt;sort kat;svart katt;musta kissa;;;
black cat head;svart katthuvud;sort kattehoved;svart katthode;musta kissanpää;;;
black cats;svarta katter;sorte katte;svarte katter;musta kissat;;;
black dog;;sort hund;;musta koira;;;
black checkered pattern;svart schackmönster;sort ternet mønster;;;;;
black cute panda;svart söt panda;sort sød panda;svart søt panda;musta suloinen panda;;;
black feather;svart fjäder;sort fjer;svart fjær;musta sulka;;;
black flower;svart blomma;sort blomst;svart blomst;musta kukka;;;
black flowers;svarta blommor;sorte blomster;svarte blomster;musta kukat;;;
black happy panda;svart lycklig panda;sort glad panda;svart glad panda;musta iloinen panda;;;
black husky;svart husky;sort husky;svart husky;musta husky;;;
black lace;svart spets;sorte blonder;svarte blonder;musta pitsi;;;
black lace and butterfly;svart spets och fjäril;sort blonder og sommerfugl;svarte blonder og sommerfugl;musta pitsi ja perhonen;;;
black malanda flower;svart mandala blomma;sort mandala blomst;svart mandala blomst;musta maljaa kukka;;;
black mandala;svart mandala ;sort mandala;svart mandala;musta mandala;;;
black outer layer / blue;svart yttre lager / blå;sort ydre lag / blå;;;;;
black outer layer / watermelon red;svart yttre lager / vattenmelon röd;sort ydre lag / vandmelon rød;;;;;
black owl;svart uggla;sort ugle;svart ugle;musta pöllö;;;
black panda;svart panda;sort panda;svart panda;musta panda;;;
black panda with bowknot;svart panda med knut;sort panda med sløjfe;svart panda med sløyfe;musta panda ja rusetti;;;
black rats;svarta råttor;sorte rotter;svarte rotter;mustat rotat;;;
black shine;svart glans;sort skin;svart glans;;;;
black shine marble;svart glansmarmor;sort skin marmor;svart glansmarmor;musta kiilto marmori;;;
blackish green;svartaktig grön;sortliggrøn;svartgrønn;;;;
bling butterfly;glittring fjäril;bling sommerfugl;;bling perhonen;;;
blooming flower;blommande blomma;blomstrende blomst;blomstrende plante;kukkivat kukat;;;
blu ray;blu-ray;blu ray;;;;;
blue agate marble;blå agat marmor;blå agat marmor;;;;;
blue and gold butterflies;blå och guld sommarfluga;blå og guld sommerfugle;blå og gull sommerfugler;sininen ja kulta perhoset;;;
blue and gold butterfly;blå och guld fjäril;blå og guld sommerfugl;;sininen ja kultainen perhonen;;;
blue and pink clouds;blå och rosa moln;blå og lyserøde skyer;blå og rosa skyer;siniset ja pinkit pilvet;;;
